name,artistIds,asciiName,attractionLights,availability,boosterTypes,borderColor,cardParts,colorIdentity,colorIndicator,colors,defense,duelDeck,edhrecRank,edhrecSaltiness,faceConvertedManaCost,faceFlavorName,faceManaValue,faceName,finishes,flavorName,flavorText,frameEffects,frameVersion,hand,hasAlternativeDeckLimit,hasContentWarning,hasFoil,hasNonFoil,isAlternative,isFullArt,isFunny,isOnlineOnly,isOversized,isPromo,isRebalanced,isReprint,isReserved,isStarter,isStorySpotlight,isTextless,isTimeshifted,keywords,language,layout,leadershipSkills,life,loyalty,manaCost,manaValue,originalPrintings,originalReleaseDate,originalText,originalType,otherFaceIds,power,printings,promoTypes,rarity,rebalancedPrintings,relatedCards,securityStamp,setCode,side,signature,sourceProducts,subsets,subtypes,supertypes,text,toughness,type,types,uuid,variations,watermark
Aeronaut Cavalry,70213e7d-47e0-4543-a1ae-451009053e2d,,,"arena, mtgo, paper",default,black,,W,,W,,,19222,0.1,,,,,"nonfoil, foil",,"""The ground is where wars are waged, but the air is where they are won.""\nâ€”Harbin, vanguard aviator",,2015,,,,True,True,,,,,,,,,,,,,,Flying,English,normal,,,,{4}{W},5,,,,,,3,BRO,,common,,,,BRO,,,"{""foil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b"", ""5d7ab4f0-6325-59ad-953c-b218569caa2a""], ""nonfoil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""4278c6c0-f7ca-5c8b-abfc-5a4537315a22"", ""45cebf46-b795-5ef3-a1ee-910062c",,"Human, Soldier",,"Flying\nWhen Aeronaut Cavalry enters the battlefield, put a +1/+1 counter on another target Soldier you control.",4,Creature â€” Human Soldier,Creature,6ff98307-b89c-5a43-bc3c-3f81d803617d,,
Airlift Chaplain,61a4c572-3d1b-4b71-aeb0-1a5a6b82c524,,,"arena, mtgo, paper",default,black,,W,,W,,,15173,0.02,,,,,"nonfoil, foil",,,,2015,,,,True,True,,,,,,,,,,,,,,"Flying, Mill",English,normal,,,,{2}{W},3,,,,,,1,BRO,,common,,,,BRO,,,"{""foil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b"", ""5d7ab4f0-6325-59ad-953c-b218569caa2a""], ""nonfoil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""4278c6c0-f7ca-5c8b-abfc-5a4537315a22"", ""45cebf46-b795-5ef3-a1ee-910062c",,"Human, Cleric",,"Flying\nWhen Airlift Chaplain enters the battlefield, mill three cards. You may put a Plains card or a creature card with mana value 3 or less from among the cards milled this way into your hand. If you don't, put a +1/+1 counter on Airlift Chaplain. (To ",1,Creature â€” Human Cleric,Creature,e4d66ec1-7ba2-5c80-a9c1-e33500cfdbb5,,
Ambush Paratrooper,6a6d08a4-77eb-4345-9ac4-21248cce900f,,,"arena, mtgo, paper",default,black,,W,,W,,,15767,,,,,,"nonfoil, foil",,"""It would be folly to fight a dragon engine head-on. Let's hit it from above.""",,2015,,,,True,True,,,,,,,,,,,,,,"Flash, Flying",English,normal,,,,{1}{W},2,,,,,,1,BRO,,common,,,,BRO,,,"{""foil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b"", ""5d7ab4f0-6325-59ad-953c-b218569caa2a""], ""nonfoil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""4278c6c0-f7ca-5c8b-abfc-5a4537315a22"", ""45cebf46-b795-5ef3-a1ee-910062c",,"Human, Soldier",,Flash\nFlying\n{5}: Creatures you control get +1/+1 until end of turn.,2,Creature â€” Human Soldier,Creature,8d065ec5-4e7f-50f6-92c8-277673a6fb19,,
Calamity's Wake,d887bc66-2779-416c-a1ff-d8720242063e,,,"arena, mtgo, paper",default,black,,W,,W,,,5931,0.6,,,,,"nonfoil, foil",,"The sylex's blast had razed the land, leaving behind only snow and sorrow. Urza stood alone in the sudden silence.",,2015,,,,True,True,,,,,,,,,,,True,,,,English,normal,,,,{1}{W},2,,,,,,,BRO,,uncommon,,,,BRO,,,"{""foil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b"", ""5d7ab4f0-6325-59ad-953c-b218569caa2a""], ""nonfoil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b""]}",,,,Exile all graveyards. Players can't cast noncreature spells this turn. Exile Calamity's Wake.,,Instant,Instant,45e16536-c429-54c9-906e-43b9f9ee83b2,,
Deadly Riposte,fad4282c-49d1-4b5b-be1d-713369fc8bc8,,,"arena, mtgo, paper",default,black,,W,,W,,,17480,,,,,,"nonfoil, foil",,"""Automatons are fast, precise, and tireless, but they all share one weakness: predictability. Learn their patterns. Strike when they're vulnerable.""\nâ€”Horance, Urzan general",,2015,,,,True,True,,,,,,,,,,,,,,,English,normal,,,,{1}{W},2,,,,,,,BRO,,common,,,,BRO,,,"{""foil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b"", ""5d7ab4f0-6325-59ad-953c-b218569caa2a""], ""nonfoil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b""]}",,,,Deadly Riposte deals 3 damage to target tapped creature and you gain 2 life.,,Instant,Instant,d184bcd7-1c35-558f-8fd4-c2065a349018,,
Disenchant,191620ed-2361-444e-96a6-1fe7ce32ef3b,,,"arena, mtgo, paper",default,black,,W,,W,,,765,0.14,,,,,"nonfoil, foil",,"""One down, several thousand more to go.""",,2015,,,,True,True,,,,,,,,True,,,,,,,English,normal,,,,{1}{W},2,,,,,,,"2ED, 30A, 3ED, 4BB, 4ED, 5ED, 6ED, 7ED, A25, ATH, BRB, BRO, CED, CEI, CMR, CN2, CST, F03, FBB, ICE, IMA, LEA, LEB, M20, MB1, ME2, ME3, MIR, MMQ, OLEP, P07, PARL, PLIST, PMEI, PRM, PTC, SCD, SUM, TMP, TPR, TSB, USG, WC97, WC98, ZNR",,common,,,,BRO,,,"{""foil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b"", ""5d7ab4f0-6325-59ad-953c-b218569caa2a""], ""nonfoil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b""]}",,,,Destroy target artifact or enchantment.,,Instant,Instant,6efabf68-3dc3-5c60-9446-6525679733ce,,
Great Desert Prospector,7a6f1667-a8ac-47f5-a302-f71cb54b2adf,,,"arena, mtgo, paper",default,black,,W,,W,,,12210,0.08,,,,,"nonfoil, foil",,"""Hello, beautiful.""",,2015,,,,True,True,,,,,,,,,,,,,,,English,normal,,,,{4}{W},5,,,,,,3,BRO,,uncommon,,,,BRO,,,"{""foil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b"", ""5d7ab4f0-6325-59ad-953c-b218569caa2a""], ""nonfoil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b""]}",,"Human, Artificer",,"When Great Desert Prospector enters the battlefield, create a tapped Powerstone token for each other creature you control. (The tokens are artifacts with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",2,Creature â€” Human Artificer,Creature,51aecba1-d4b9-596f-9037-3ef33dca9816,,
In the Trenches,e607a0d4-fc12-4c01-9e3f-501f5269b9cb,,,"arena, mtgo, paper",default,black,,W,,W,,,8751,0.16,,,,,"nonfoil, foil",,"The battlefield became so pockmarked with craters and trenches that casualties were regularly attributed to ""fell in a hole.""",,2015,,,,True,True,,,,,,,,,,,,,,,English,normal,,,,{1}{W}{W},3,,,,,,,"BRO, PBRO, PRM",,mythic,,,oval,BRO,,,"{""foil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b"", ""5d7ab4f0-6325-59ad-953c-b218569caa2a""], ""nonfoil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""4278c6c0-f7ca-5c8b-abfc-5a4537315a22"", ""45cebf46-b795-5ef3-a1ee-910062c",,,,Creatures you control get +1/+1.\n{5}{W}: Exile target nonland permanent you don't control until In the Trenches leaves the battlefield. Activate only as a sorcery and only once.,,Enchantment,Enchantment,ada20bab-ada6-5bed-9d45-d87790233c25,521456b0-a324-5792-b178-b829a3694544,
Kayla's Command,c3439c4a-1fee-4e33-9b89-18dac27ac927,,,"arena, mtgo, paper",default,black,,W,,W,,,10910,0.08,,,,,"nonfoil, foil",,,,2015,,,,True,True,,,,,,,,,,,,,,Scry,English,normal,,,,{1}{W}{W},3,,,,,,,"BRO, PBRO, PRM",,rare,,,oval,BRO,,,"{""foil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b"", ""5d7ab4f0-6325-59ad-953c-b218569caa2a""], ""nonfoil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""4278c6c0-f7ca-5c8b-abfc-5a4537315a22"", ""45cebf46-b795-5ef3-a1ee-910062c",,,,"Choose two â€”\nâ€¢ Create a 2/2 colorless Construct artifact creature token.\nâ€¢ Put a +1/+1 counter on a creature you control. It gains double strike until end of turn.\nâ€¢ Search your library for a basic Plains card, reveal it, put it into your hand,",,Sorcery,Sorcery,64155ae3-130f-5da4-9360-ee9bb617e25b,7e776c0c-cd71-5916-be3d-0bd009990d3a,
Kayla's Reconstruction,fc3ad085-6b9e-41a2-8c3d-b4810b515d35,,,"arena, mtgo, paper",default,black,,W,,W,,,11969,0.2,,,,,"nonfoil, foil",,Anyone can destroy a continent. Few have the vision to rebuild one.,,2015,,,,True,True,,,,,,,,,,,True,,,,English,normal,,,,{X}{W}{W}{W},3,,,,,,,"BRO, PBRO, PRM",,rare,,,oval,BRO,,,"{""foil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""45cebf46-b795-5ef3-a1ee-910062ca961b"", ""5d7ab4f0-6325-59ad-953c-b218569caa2a""], ""nonfoil"": [""104d4709-8535-5fdd-8dda-51b069cc4c0a"", ""4278c6c0-f7ca-5c8b-abfc-5a4537315a22"", ""45cebf46-b795-5ef3-a1ee-910062c",,,,Look at the top seven cards of your library. Put up to X artifact and/or creature cards with mana value 3 or less from among them onto the battlefield. Put the rest on the bottom of your library in a random order.,,Sorcery,Sorcery,47fd005b-6e60-5024-a08a-428a150f89ef,d325ae4a-84ec-5348-add0-99ae78d85ab4,
